127.0.0.1 - - [29/Dec/2023:09:31:04 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:31:06 +0900] "GET /JSPBasic/request/ex03.jsp HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:31:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:31:15 +0900] "GET /JSPBasic/request/ex03.jsp HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:31:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:31:17 +0900] "GET /JSPBasic/request/ex04.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:31:28 +0900] "GET /JSPBasic/apple HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:31:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:31:45 +0900] "GET /JSPBasic/banana HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:31:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:34:34 +0900] "GET /JSPBasic/request/ex03.jsp HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:34:34 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:34:35 +0900] "GET /JSPBasic/request/ex04.jsp?age=20&name=%ED%99%8D%EA%B8%B8%EB%8F%99 HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:38:02 +0900] "GET /JSPBasic/request/ex03.jsp HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:38:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:38:04 +0900] "GET /JSPBasic/request/ex04.jsp?age=20&name=%ED%99%8D%EA%B8%B8%EB%8F%99 HTTP/1.1" 200 227
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:38:19 +0900] "GET /JSPBasic/request/ex03.jsp HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:38:20 +0900] "GET /JSPBasic/request/ex04.jsp?age=20&name=%ED%99%8D%EA%B8%B8%EB%8F%99 HTTP/1.1" 500 2595
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:46:33 +0900] "GET /JSPBasic/request/Quiz03.jsp HTTP/1.1" 200 6195
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:46:33 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:47:25 +0900] "GET /JSPBasic/request/Quiz03.jsp HTTP/1.1" 200 6217
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:48:09 +0900] "GET /JSPBasic/request/Quiz03.jsp HTTP/1.1" 200 7409
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:48:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:48:50 +0900] "GET /JSPBasic/request/Quiz03.jsp HTTP/1.1" 200 7809
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:48:57 +0900] "GET /JSPBasic/request/Quiz03.jsp HTTP/1.1" 200 7813
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:48:58 +0900] "GET /JSPBasic/request/Quiz03_OK.jsp?num=1&name=%ED%99%8D%EA%B8%B8%EB%8F%99 HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:49:41 +0900] "GET /JSPBasic/request/Quiz03.jsp HTTP/1.1" 200 7813
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:49:44 +0900] "GET /JSPBasic/request/Quiz03_OK.jsp?num=1&name=%ED%99%8D%EA%B8%B8%EB%8F%99 HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:49:46 +0900] "GET /JSPBasic/request/Quiz03_OK.jsp?num=13&name=%ED%99%8D%EA%B8%B8%EB%8F%99 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:49:47 +0900] "GET /JSPBasic/request/Quiz03_OK.jsp?num=22&name=%ED%99%8D%EA%B8%B8%EB%8F%99 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:49:57 +0900] "GET /JSPBasic/request/Quiz03_OK.jsp?num=22&name=%ED%99%8D%EA%B8%B8%EB%8F%99 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:50:01 +0900] "GET /JSPBasic/request/Quiz03_OK.jsp?num=18&name=%ED%99%8D%EA%B8%B8%EB%8F%99 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:50:16 +0900] "GET /JSPBasic/request/Quiz03.jsp HTTP/1.1" 200 6313
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:50:17 +0900] "GET /JSPBasic/request/Quiz03_OK.jsp?num=25 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:51:21 +0900] "GET /JSPBasic/request/Quiz03_OK.jsp?num=20 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:51:37 +0900] "GET /JSPBasic/request/Quiz03_OK.jsp?num=19&name=%ED%99%8D%EA%B8%B8%EB%8F%99 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [29/Dec/2023:09:51:39 +0900] "GET /JSPBasic/request/Quiz03_OK.jsp?num=10&name=%ED%99%8D%EA%B8%B8%EB%8F%99 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [29/Dec/2023:10:11:28 +0900] "GET /JSPBasic/request/Quiz03.jsp HTTP/1.1" 200 6313
0:0:0:0:0:0:0:1 - - [29/Dec/2023:10:11:38 +0900] "GET /JSPBasic/request/Quiz03_OK.jsp?num=96 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [29/Dec/2023:10:22:21 +0900] "GET /JSPBasic/response/ex01.jsp HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [29/Dec/2023:10:22:23 +0900] "GET /JSPBasic/response/ex02.jsp%20method=post?name=asd&age=asd HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [29/Dec/2023:10:23:12 +0900] "GET /JSPBasic/response/ex01.jsp HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [29/Dec/2023:10:23:13 +0900] "GET /JSPBasic/response/ex02.jsp%20method=post?name=asd&age=asd HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [29/Dec/2023:10:24:43 +0900] "GET /JSPBasic/response/ex01.jsp HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [29/Dec/2023:10:24:45 +0900] "GET /JSPBasic/response/ex02.jsp%20method=post?name=asd&age=asd HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [29/Dec/2023:10:25:02 +0900] "GET /JSPBasic/response/ex01.jsp HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [29/Dec/2023:10:25:03 +0900] "POST /JSPBasic/response/ex02.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [29/Dec/2023:10:31:35 +0900] "GET /JSPBasic/response/ex01.jsp HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [29/Dec/2023:10:31:51 +0900] "POST /JSPBasic/response/ex02.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Dec/2023:10:31:52 +0900] "GET /JSPBasic/response/ex02_no.jsp HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [29/Dec/2023:10:32:03 +0900] "POST /JSPBasic/response/ex02.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Dec/2023:10:32:03 +0900] "GET /JSPBasic/response/ex02_ok.jsp HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [29/Dec/2023:10:39:46 +0900] "GET /JSPBasic/response/Quiz01.jsp HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [29/Dec/2023:10:39:46 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Dec/2023:10:39:50 +0900] "POST /JSPBasic/response/Quiz01_result.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [29/Dec/2023:10:44:09 +0900] "GET /JSPBasic/response/Quiz01.jsp HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [29/Dec/2023:10:44:14 +0900] "POST /JSPBasic/response/Quiz01_result.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Dec/2023:10:44:14 +0900] "GET /JSPBasic/response/Quiz01_ok.jsp HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [29/Dec/2023:10:44:40 +0900] "GET /JSPBasic/response/Quiz01.jsp HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [29/Dec/2023:10:44:40 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Dec/2023:10:44:52 +0900] "POST /JSPBasic/response/Quiz01_result.jsp HTTP/1.1" 302 -
